[<27.5, 0, 2.5>, <0, 2.5, 2.5>, <2.5, 0, 2.5>, <0, 27.5, 2.5>, <27.5, 2.5, 0>, <2.5, 2.5, 0>, <2.5, 27.5, 0>, <27.5, 27.5, 0>, <27.5, 0, 27.5>, <0, 2.5, 27.5>, <2.5, 0, 27.5>, <0, 27.5, 27.5>]
[<0, 2.5, 2.5>, <2.5, 5, 2.5>, <5, 2.5, 2.5>, <2.5, 0, 2.5>, <0, 5, 0>, <5, 5, 0>, <5, 0, 0>, <0, 0, 0>, <0, 2.5, 27.5>, <2.5, 5, 27.5>, <5, 2.5, 27.5>, <2.5, 0, 27.5>]
[<27.5, 2.5, 5>, <0, 5, 5>, <2.5, 2.5, 5>, <0, 0, 5>, <27.5, 5, 2.5>, <2.5, 5, 2.5>, <2.5, 0, 2.5>, <27.5, 0, 2.5>, <27.5, 2.5, 0>, <0, 5, 0>, <2.5, 2.5, 0>, <0, 0, 0>]
[<0, 0, 5>, <2.5, 2.5, 5>, <5, 0, 5>, <2.5, 27.5, 5>, <0, 2.5, 2.5>, <5, 2.5, 2.5>, <5, 27.5, 2.5>, <0, 27.5, 2.5>, <0, 0, 0>, <2.5, 2.5, 0>, <5, 0, 0>, <2.5, 27.5, 0>]
[<27.5, 0, 7.5>, <0, 2.5, 7.5>, <2.5, 0, 7.5>, <0, 27.5, 7.5>, <27.5, 2.5, 5>, <2.5, 2.5, 5>, <2.5, 27.5, 5>, <27.5, 27.5, 5>, <27.5, 0, 2.5>, <0, 2.5, 2.5>, <2.5, 0, 2.5>, <0, 27.5, 2.5>]
[<0, 2.5, 7.5>, <2.5, 5, 7.5>, <5, 2.5, 7.5>, <2.5, 0, 7.5>, <0, 5, 5>, <5, 5, 5>, <5, 0, 5>, <0, 0, 5>, <0, 2.5, 2.5>, <2.5, 5, 2.5>, <5, 2.5, 2.5>, <2.5, 0, 2.5>]
[<27.5, 2.5, 10>, <0, 5, 10>, <2.5, 2.5, 10>, <0, 0, 10>, <27.5, 5, 7.5>, <2.5, 5, 7.5>, <2.5, 0, 7.5>, <27.5, 0, 7.5>, <27.5, 2.5, 5>, <0, 5, 5>, <2.5, 2.5, 5>, <0, 0, 5>]
[<0, 0, 10>, <2.5, 2.5, 10>, <5, 0, 10>, <2.5, 27.5, 10>, <0, 2.5, 7.5>, <5, 2.5, 7.5>, <5, 27.5, 7.5>, <0, 27.5, 7.5>, <0, 0, 5>, <2.5, 2.5, 5>, <5, 0, 5>, <2.5, 27.5, 5>]
[<27.5, 0, 12.5>, <0, 2.5, 12.5>, <2.5, 0, 12.5>, <0, 27.5, 12.5>, <27.5, 2.5, 10>, <2.5, 2.5, 10>, <2.5, 27.5, 10>, <27.5, 27.5, 10>, <27.5, 0, 7.5>, <0, 2.5, 7.5>, <2.5, 0, 7.5>, <0, 27.5, 7.5>]
[<0, 2.5, 12.5>, <2.5, 5, 12.5>, <5, 2.5, 12.5>, <2.5, 0, 12.5>, <0, 5, 10>, <5, 5, 10>, <5, 0, 10>, <0, 0, 10>, <0, 2.5, 7.5>, <2.5, 5, 7.5>, <5, 2.5, 7.5>, <2.5, 0, 7.5>]
[<27.5, 2.5, 15>, <0, 5, 15>, <2.5, 2.5, 15>, <0, 0, 15>, <27.5, 5, 12.5>, <2.5, 5, 12.5>, <2.5, 0, 12.5>, <27.5, 0, 12.5>, <27.5, 2.5, 10>, <0, 5, 10>, <2.5, 2.5, 10>, <0, 0, 10>]
